filename,total_pixels,snow_pixels,light_snow_cover,light_snow_cover_percentage,snow_coverage_percentage
Historical_Period_1990-2000,9219040,546932,1128762,12.243812804803971,5.932635068293445
Recent_Period_2015-2025,9219040,252012,680959,7.386441538381437,2.733603498845867
